Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745016611.29,0,0,37.0,3.0,4.0,5.0,24.479843749999997,44.67969950060295,1004.4044987181653,73.90650590251556,324525.8
1745016616.3,0,0,33.2,3.0,4.0,5.0,24.531523437500002,44.22622555839207,1004.4188497667428,73.78617296323861,331363.6
1745016621.28,0,0,34.2,2.2,4.0,4.8,24.531523437500002,44.22622555839207,1004.4188497667428,73.78617296323861,331363.6
1745016626.31,0,0,34.8,2.2,4.0,4.8,24.559609375,44.01762098997758,1004.4223404196402,73.75690462501225,337405.4
1745016631.3,0,0,38.0,2.6,3.4,4.0,24.5745703125,43.97282721530715,1004.4335925959089,73.6625564642143,342118.4
1745016636.27,0,0,32.8,2.6,3.4,4.0,24.579296875,43.828072529207326,1004.4435713534933,73.57888686987044,348274.0
1745016641.3,0,0,37.2,2.0,3.0,4.0,24.5861328125,43.689477554892804,1004.454384349343,73.48822312269985,351953.4
1745016646.28,0,0,39.6,2.0,3.0,4.0,24.5975,43.61881368682128,1004.446714759821,73.55253030599299,357320.2
1745016651.27,0,0,39.6,2.0,3.0,3.4,24.6057421875,43.581466250050525,1004.4500616296673,73.5244677596451,361345.0
1745016656.27,0,0,31.8,2.0,3.0,3.4,24.62953125,43.55751130860878,1004.4581860324337,73.45634728513942,364352.0
1745016661.29,0,0,38.4,2.0,3.0,3.4,24.6439453125,43.47681148928272,1004.4644487490957,73.40383684042845,369689.6
1745016666.27,0,0,30.4,2.0,3.0,3.4,24.65875,43.45183781805237,1004.4659434729729,73.39130415771068,373335.8
1745016671.29,0,0,32.6,2.0,3.0,3.0,24.670703125,43.48103655753647,1004.4589155729296,73.4502303457509,379900.0
1745016676.26,0,0,38.2,2.0,3.0,3.0,24.6823046875,43.4232305837494,1004.4618047613556,73.42600559244231,383389.8
1745016681.29,0,0,35.8,2.0,2.4,2.4,24.682343749999998,43.42323502485731,1004.4632263775187,73.41408593815449,387959.6
1745016686.26,0,0,35.6,2.0,2.4,2.4,24.6698046875,43.34066842908774,1004.4652022920311,73.39751866028811,391592.8
1745016691.31,0,0,37.8,2.0,3.0,3.0,24.6759765625,43.29850433370368,1004.4691351689302,73.36454314075478,394514.8
1745016696.26,0,0,34.8,2.0,3.0,3.0,24.6785546875,43.27563129042447,1004.465332672745,73.39642547241466,398604.6
1745016701.41,0,0,34.8,2.0,3.0,3.0,24.6785546875,43.29184848358326,1004.4619427311309,73.42484879709866,401155.0
1745016706.26,0,0,34.4,2.0,3.0,3.0,24.6739453125,43.266997073161214,1004.4755518338459,73.31074233636286,405189.8
1745016711.26,0,0,39.8,2.0,3.0,3.0,24.66859375,43.23743287523166,1004.4824893342878,73.25257486483704,408470.6
1745016716.3,0,0,34.6,2.0,3.0,3.8,24.662343749999998,43.219350158725966,1004.4831706316452,73.24686254535703,412497.8
1745016721.25,0,0,31.4,2.0,3.0,3.8,24.666953125,43.20945579146492,1004.4854944950848,73.22737819114893,415283.4
1745016726.28,0,0,32.4,2.6,3.6,4.0,24.6715625,43.258617249139505,1004.4691738242885,73.36421902024684,418208.6
1745016731.3,0,0,29.8,2.6,3.6,4.0,24.67328125,43.265762682485615,1004.4608759688039,73.43379318337396,421018.8
1745016736.34,0,0,35.2,3.0,3.6,4.0,24.682070312500002,43.270241123167054,1004.4627668273488,73.41793903998608,422761.0
1745016741.27,0,0,32.0,3.0,3.6,4.0,24.679335937499996,43.26182108221269,1004.4649508253009,73.39962710788693,426326.2
1745016746.23,0,0,32.0,3.0,3.0,4.0,24.679335937499996,43.26182108221269,1004.4649508253009,73.39962710788693,426326.2
1745016751.28,0,0,33.4,3.0,3.0,4.0,24.6823046875,43.25868535225998,1004.45705881796,73.46579859080921,429460.8
1745016756.35,0,0,35.2,3.0,3.0,4.0,24.6871484375,43.261554797289385,1004.4577421133524,73.46006938976377,431595.2
1745016761.28,0,0,35.0,3.0,3.0,4.0,24.693046875,43.26917794391254,1004.4659610542915,73.39115685667302,434141.2
1745016766.35,0,0,33.8,2.0,3.0,4.0,24.706210937499996,43.28805705533559,1004.4636781742045,73.41029774928192,435428.6
1745016771.29,0,0,33.8,2.0,3.0,4.0,24.7331640625,43.29345401426533,1004.4621945108538,73.422737699599,437059.6
1745016776.31,0,0,31.8,2.0,3.0,3.8,24.764179687499997,43.27035369399804,1004.4655009305079,73.39501471263077,438644.0
1745016781.29,0,0,40.2,2.0,3.0,3.8,24.792226562499998,43.25618268089981,1004.4705952412614,73.35230107729635,440297.2
1745016786.29,0,0,34.6,2.0,3.0,3.0,24.8187109375,43.224460524424394,1004.463566574928,73.41123351048087,441675.8
1745016791.26,0,0,32.4,2.0,3.0,3.0,24.848867187499998,43.20821600448255,1004.4586358783514,73.45257549453329,443412.6
1745016796.34,0,0,41.6,2.0,2.4,3.0,24.873476562499995,43.22029285512363,1004.4552307397547,73.48112653106689,443818.6
1745016801.24,0,0,41.6,2.0,2.4,3.0,24.880976562500003,43.18061846334233,1004.4383323700116,73.62281447813155,447103.2
1745016806.28,0,0,31.6,2.0,3.0,3.8,24.8722265625,43.092792715478126,1004.4521130129054,73.50726752678183,450376.8
1745016811.26,0,0,36.0,2.0,3.0,3.8,24.856367187500002,42.9926414866667,1004.4393653858436,73.61415282924472,453880.2
1745016816.3,0,0,31.0,2.6,3.6,4.6,24.845468750000002,42.93473566445006,1004.4397008620051,73.61133993325544,456574.4
1745016821.28,0,0,34.6,2.6,3.6,4.6,24.828359375,42.89695355806076,1004.4421442442883,73.59085277858078,459553.0
1745016826.3,0,0,28.4,3.0,4.0,5.0,24.821523437499998,42.867281613475114,1004.4445584594223,73.57061020686614,462628.0
1745016831.26,0,0,30.8,3.0,4.0,5.0,24.814335937499997,42.84913148964707,1004.444008105091,73.57522477650426,464152.2
1745016836.3,0,0,35.2,3.0,4.0,5.0,24.7966796875,42.82748569332021,1004.4512937477459,73.51413677425097,466461.4
1745016841.26,0,0,33.0,3.0,4.0,5.0,24.7846875,42.84692489687037,1004.4436851318885,73.57793290293569,468263.4
1745016846.3,0,0,35.2,3.0,4.0,5.0,24.788203125000003,43.10766151331681,1004.4407778992903,73.60230925208914,465238.6
1745016851.24,0,0,35.2,3.0,4.0,5.0,24.8092578125,43.819751579191895,1004.449375835176,73.53021788367566,464090.0
1745016856.33,0,0,36.0,2.6,4.2,4.6,24.810078125,43.71875754120246,1004.4510934566806,73.51581615543154,466519.4
1745016861.28,0,0,33.0,2.6,4.2,4.6,24.8053515625,43.52548679702893,1004.4397597404108,73.61084636043634,470345.6
1745016866.23,0,0,33.0,2.6,4.2,4.6,24.807109375,43.37956622939678,1004.4274560201499,73.71401065705575,472576.6
1745016871.28,0,0,30.6,2.6,4.2,4.6,24.8087890625,43.26271115011558,1004.4333302924058,73.66475591038167,473838.2
1745016876.26,0,0,34.4,2.4,4.0,4.4,24.8087890625,43.26271115011558,1004.4333302924058,73.66475591038167,473838.2
1745016881.32,0,0,35.8,2.4,4.0,4.4,24.804609375000002,43.16263826201877,1004.4429202428473,73.58434623502714,477314.8
1745016886.3,0,0,35.2,2.0,4.0,4.4,24.7965625,43.10847281366712,1004.4361783950795,73.64087505418436,479608.8
1745016891.26,0,0,36.8,2.0,4.0,4.4,24.80046875,43.09040151901715,1004.4356227278871,73.64553420274095,482070.4
1745016896.29,0,0,39.0,2.0,3.2,4.2,24.815859375,43.207921847384554,1004.4363962286701,73.63904855157075,483170.8
1745016901.27,0,0,39.0,2.0,3.2,4.2,24.835507812499998,43.1835306564375,1004.4429675962614,73.58394918359758,483238.8
1745016906.29,0,0,33.8,2.0,3.0,4.0,24.839492187500003,43.08096392878338,1004.4377955149163,73.62731584518558,486156.6
1745016911.26,0,0,39.8,2.0,3.0,4.0,24.832851562500004,42.95989761658156,1004.4425727665432,73.58725971642271,488480.4
1745016916.32,0,0,39.8,2.0,3.4,4.4,24.826054687499997,42.87704300988109,1004.4399666622041,73.60911126783962,490882.6
1745016921.26,0,0,32.0,2.0,3.4,4.4,24.820937499999996,42.84410231324209,1004.4415393778527,73.59592445953024,493671.6
1745016926.29,0,0,35.4,2.0,4.2,5.0,24.80859375,42.84039118834274,1004.4418176542756,73.59359120024165,495407.2
1745016931.26,0,0,36.0,2.0,4.2,5.0,24.78921875,42.82779530063785,1004.4350257349672,73.65054029897962,496715.8
1745016936.29,0,0,36.0,2.0,4.4,5.0,24.774296874999997,42.83072551276748,1004.4113050731819,73.84943468791964,499723.2
1745016941.27,0,0,35.0,2.0,4.4,5.0,24.764921875,42.831974266971386,1004.4101288051522,73.85929767636921,501652.0
1745016946.29,0,0,33.0,2.0,5.0,5.6,24.7534375,42.84800322351386,1004.4264272485425,73.72263667995738,504189.6
1745016951.24,0,0,33.0,2.0,5.0,5.6,24.740234375,42.86615011758172,1004.4239017025948,73.7438130324441,505622.4
1745016956.3,0,0,31.0,2.0,5.0,5.0,24.728164062499996,42.87633752589205,1004.4212452342545,73.76608723608224,508661.2
1745016961.31,0,0,31.6,2.0,5.0,5.0,24.729374999999997,42.893810734875814,1004.4276876500604,73.71206840683196,509426.4
1745016966.31,0,0,35.2,2.6,5.0,5.0,24.7428125,42.936948402155714,1004.4221320199804,73.75865165230786,509274.6
1745016971.26,0,0,34.0,2.6,5.0,5.0,24.760312499999998,42.972466643795585,1004.421029450214,73.76789656161081,508968.4
1745016976.29,0,0,31.6,3.0,4.6,4.6,24.7890234375,43.01736676426087,1004.4191009726928,73.78406663326173,508126.2
1745016981.27,0,0,30.4,3.0,4.6,4.6,24.8165234375,43.051730238142625,1004.4236104283882,73.74625532986748,507748.8
1745016986.3,0,0,39.4,2.8,4.0,4.6,24.83859375,43.0415165036939,1004.4135674767346,73.830464538967,508814.8
1745016991.26,0,0,38.6,2.8,4.0,4.6,24.851289062499998,42.98628065819104,1004.4111650986582,73.85060846059949,508891.6
1745016996.29,0,0,34.0,2.6,4.0,4.6,24.856562500000003,42.91865406768446,1004.4135839376574,73.83032663175891,511197.2
1745017001.28,0,0,33.4,2.6,4.0,4.6,24.8569140625,42.86089674125029,1004.4284163150512,73.70595875617957,513135.4
