Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:08:08,25.8563671875,102959,42.45911302943478,1002.2518131711403,91.97246265746301,6,8,9,6,8,9,1209,325,48,3,1,0
2025-02-28 16:08:09,25.847578125,103974,42.415851944176566,1002.2554197619836,91.942168844804,6,8,9,6,8,9,1209,325,48,3,1,0
2025-02-28 16:08:10,25.8477734375,105601,42.39172847471683,1002.2575030456122,91.92467019812096,6,8,8,6,8,8,1218,320,46,2,0,0
2025-02-28 16:08:11,25.8462109375,106333,42.343270699720335,1002.2567674456773,91.93084890378537,6,8,8,6,8,8,1218,320,46,2,0,0
2025-02-28 16:08:12,25.83234375,107007,42.29946708542715,1002.253999995495,91.95409426243721,6,8,8,6,8,8,1218,320,46,2,0,0
2025-02-28 16:08:12,25.8262890625,108173,42.238468600415594,1002.2549104740752,91.9464466389485,6,7,7,6,7,7,1176,305,41,2,0,0
2025-02-28 16:08:13,25.81984375,109153,42.207592016235836,1002.255194334109,91.94406233945934,6,7,7,6,7,7,1176,305,41,2,0,0
2025-02-28 16:08:14,25.800703125,109436,42.15117945795305,1002.2563579956025,91.93428810020963,6,7,7,6,7,7,1176,305,41,2,0,0
2025-02-28 16:08:15,25.792890625,110874,42.090041447378816,1002.2597582643372,91.90572740705367,6,8,8,6,8,8,1242,323,43,2,0,0
2025-02-28 16:08:16,25.7856640625,111681,42.077178585762354,1002.2534784535112,91.95847499046438,5,7,7,5,7,7,1242,323,43,2,0,0
2025-02-28 16:08:17,25.7676953125,111977,42.02697098561602,1002.2547487684827,91.9478048950777,5,7,7,5,7,7,1242,323,43,2,0,0
2025-02-28 16:08:18,25.7551953125,112650,42.00147853932103,1002.2488600856997,91.9972673713989,5,7,7,5,7,7,1251,327,45,3,0,0
2025-02-28 16:08:18,25.739765625,114175,41.96964190438615,1002.2418118206599,92.05647016382726,5,7,7,5,7,7,1251,327,45,3,0,0
2025-02-28 16:08:19,25.7114453125,113943,41.93034720085244,1002.2406339164793,92.06636415164027,5,7,7,5,7,7,1251,327,45,3,0,0
2025-02-28 16:08:20,25.69328125,116059,41.91627271934748,1002.245124535403,92.02864455594307,5,8,8,5,8,8,1266,332,51,6,0,0
2025-02-28 16:08:21,25.670625,117025,41.90169645964672,1002.2441777465804,92.03659723264211,5,8,8,5,8,8,1266,332,51,6,0,0
2025-02-28 16:08:22,25.6315625,116944,41.88528330693485,1002.2452248657271,92.02780181860507,6,9,9,6,9,9,1266,332,51,6,0,0
2025-02-28 16:08:23,25.6008984375,118172,41.86981578143633,1002.240273764697,92.06938930395513,7,9,9,7,9,9,1299,340,53,6,0,0
2025-02-28 16:08:24,25.5696484375,119006,41.872329258540496,1002.2379176401816,92.08917996918179,7,9,9,7,9,9,1299,340,53,6,0,0
2025-02-28 16:08:24,25.5251171875,119174,41.87335572635881,1002.2478661889315,92.0056157124175,7,9,9,7,9,9,1299,340,53,6,0,0
