Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-21 16:47:00,34.126875,29436,100,702.8021413906823,2981.2681602637194,1,1,1,1,1,1,390,101,9,0,0,0
2025-02-21 16:47:01,23.311640625,13676,39.06670205441444,1009.7571020789843,29.121433200404347,1,1,1,1,1,1,390,101,9,0,0,0
2025-02-21 16:47:02,23.31984375,25747,39.0090501523,1009.7725052084862,28.992833340432803,1,1,1,1,1,1,390,101,9,0,0,0
2025-02-21 16:47:03,23.3204296875,38003,38.927239650959,1009.790697238622,28.840951152037256,1,1,2,1,1,2,396,103,12,1,1,0
2025-02-21 16:47:04,23.3274609375,49055,38.85782629103988,1009.8024246301035,28.743042314865647,1,1,2,1,1,2,396,103,12,1,1,0
2025-02-21 16:47:04,23.3290234375,58802,38.74699183441983,1009.811916726598,28.663796028487035,1,1,2,1,1,2,396,103,12,1,1,0
2025-02-21 16:47:05,23.342890625,67254,38.666685996941474,1009.8195521793501,28.60005066719658,1,1,2,1,1,2,396,101,13,1,1,0
2025-02-21 16:47:06,23.35890625,75228,38.56330412347514,1009.8307704439374,28.506394541336803,1,1,2,1,1,2,396,101,13,1,1,0
2025-02-21 16:47:07,23.3649609375,81765,38.458961398794166,1009.8374257785167,28.450832615365805,1,1,2,1,1,2,396,101,13,1,1,0
2025-02-21 16:47:08,23.3805859375,87855,38.38479930786745,1009.839383580035,28.434488005473902,1,1,2,1,1,2,390,99,12,1,1,0
2025-02-21 16:47:09,23.3966015625,93546,38.30488466729378,1009.8419918805042,28.412712776875484,1,1,2,1,1,2,390,99,12,1,1,0
2025-02-21 16:47:10,23.4020703125,95605,38.22974920598927,1009.845947747515,28.37968756264419,1,1,2,1,1,2,390,99,12,1,1,0
2025-02-21 16:47:10,23.4161328125,100060,38.16134521515029,1009.8470190722891,28.370743718277506,1,1,2,1,1,2,384,96,13,1,1,0
2025-02-21 16:47:11,23.4305859375,104426,38.098824759128014,1009.8384103971644,28.442612571703094,1,1,2,1,1,2,384,96,13,1,1,0
2025-02-21 16:47:12,23.432734375,107097,38.03507251589845,1009.8368281424465,28.455821955880886,1,1,2,1,1,2,384,96,13,1,1,0
2025-02-21 16:47:13,23.444453125,110634,37.96650782770561,1009.8443195112152,28.39328074014317,1,1,2,1,1,2,378,95,13,1,1,0
2025-02-21 16:47:14,23.4571484375,113329,37.93874207865767,1009.8413862791207,28.417768596991397,1,1,2,1,1,2,378,95,13,1,1,0
2025-02-21 16:47:15,23.4579296875,115358,37.86910446410452,1009.8392454906929,28.43564083672931,1,1,2,1,1,2,378,95,13,1,1,0
2025-02-21 16:47:16,23.46828125,119048,37.806274517932465,1009.8392901990929,28.435267591101343,1,1,2,1,1,2,396,95,16,1,1,0
2025-02-21 16:47:17,23.4794140625,120939,37.772569703877565,1009.8492468100064,28.352145704345283,1,1,2,1,1,2,396,95,16,1,1,0
2025-02-21 16:47:17,23.4784375,123162,37.743448133924275,1009.8424525122125,28.408867227434072,1,1,2,1,1,2,396,95,16,1,1,0
2025-02-21 16:47:18,23.4878125,124166,37.692169961664206,1009.8391458293285,28.43647285421095,1,1,2,1,1,2,402,101,16,1,1,0
2025-02-21 16:47:19,23.4969921875,127765,37.66409049985585,1009.8458446428442,28.380548321758727,1,1,2,1,1,2,402,101,16,1,1,0
2025-02-21 16:47:20,23.4958203125,127960,37.611770152121196,1009.8456123170663,28.382487870721604,1,1,2,1,1,2,402,101,16,1,1,0
2025-02-21 16:47:21,23.503046875,129644,37.58350649433358,1009.8438879718852,28.39688340859904,1,1,2,1,1,2,375,95,19,1,1,0
2025-02-21 16:47:22,23.512421875,131270,37.561261616286494,1009.8526340839911,28.323867497951223,1,1,2,1,1,2,375,95,19,1,1,0
2025-02-21 16:47:23,23.509296875,131994,37.52036924341875,1009.8560326638866,28.29549498285551,1,1,2,1,1,2,375,95,19,1,1,0
2025-02-21 16:47:23,23.5169140625,133786,37.49795508573687,1009.8515153724575,28.333206903918356,1,1,2,1,1,2,345,89,13,1,1,0
2025-02-21 16:47:24,23.5253125,134755,37.481416929918936,1009.8586326746462,28.27378925004732,1,1,2,1,1,2,345,89,13,1,1,0
2025-02-21 16:47:25,23.522578125,135958,37.446377611825994,1009.8575168354827,28.283104631625086,1,1,2,1,1,2,345,89,13,1,1,0
2025-02-21 16:47:26,23.5294140625,137747,37.429686852720344,1009.8448080668655,28.389202077416552,1,2,2,1,2,2,390,106,14,1,1,0
2025-02-21 16:47:27,23.5372265625,139816,37.41309585311731,1009.8371714044869,28.452956246352105,1,2,2,1,2,2,390,106,14,1,1,0
2025-02-21 16:47:28,23.5341015625,139583,37.38961442665733,1009.8336823448398,28.482084559135217,1,2,2,1,2,2,390,106,14,1,1,0
2025-02-21 16:47:29,23.5411328125,140402,37.36136751919378,1009.8385191000181,28.441705071306725,1,2,2,1,2,2,378,101,12,0,0,0
2025-02-21 16:47:29,23.54796875,140638,37.356264523211514,1009.8361417110473,28.461552603548544,1,2,2,1,2,2,378,101,12,0,0,0
2025-02-21 16:47:30,23.5442578125,141470,37.33273267283968,1009.8385639744931,28.44133043899301,1,2,2,1,2,2,378,101,12,0,0,0
2025-02-21 16:47:31,23.5516796875,142432,37.321900139278625,1009.8406077337631,28.42426823119189,1,2,2,1,2,2,402,111,15,0,0,0
2025-02-21 16:47:32,23.5596875,144024,37.28797433585415,1009.8436283576335,28.399050776135308,1,2,2,1,2,2,402,111,15,0,0,0
2025-02-21 16:47:33,23.55578125,144272,37.287582189019574,1009.8422809167344,28.410299779314666,1,2,2,1,2,2,402,111,15,0,0,0
2025-02-21 16:47:34,23.562421875,145147,37.27088650975038,1009.8412995022268,28.418493047924866,1,2,2,1,2,2,402,113,16,0,0,0
2025-02-21 16:47:35,23.569453125,146161,37.27737948645351,1009.8392470964056,28.4356274315246,1,2,2,1,2,2,402,113,16,0,0,0
2025-02-21 16:47:35,23.565546875,145147,37.242267016605425,1009.8482326184339,28.36061256274982,1,2,2,1,2,2,402,113,16,0,0,0
2025-02-21 16:47:36,23.571796875,146416,37.24289388932518,1009.8465995907171,28.37424571599308,1,2,2,1,2,2,393,113,16,0,0,0
2025-02-21 16:47:37,23.58078125,147447,37.220651712913075,1009.8512480749928,28.335438400465776,1,2,2,1,2,2,393,113,16,0,0,0
2025-02-21 16:47:38,23.5766796875,146416,37.20867020275804,1009.8461309072575,28.378158471879658,1,2,2,1,2,2,393,113,16,0,0,0
2025-02-21 16:47:39,23.5825390625,148889,37.18611923026965,1009.8490126897709,28.35410022883405,2,2,2,2,2,2,387,113,15,0,0,0
2025-02-21 16:47:40,23.589765625,148230,37.19262760724144,1009.8507297399224,28.339765651700358,2,2,2,2,2,2,387,113,15,0,0,0
2025-02-21 16:47:41,23.586640625,148099,37.169178558570316,1009.8541298149855,28.31138061110482,2,2,2,2,2,2,387,113,15,0,0,0
2025-02-21 16:47:41,23.5926953125,150090,37.18135265081637,1009.8556149299185,28.2989823656768,1,2,2,1,2,2,354,106,12,1,0,0
2025-02-21 16:47:42,23.5993359375,149955,37.153099977913115,1009.8529102776583,28.321561735236248,1,2,2,1,2,2,354,106,12,1,0,0
2025-02-21 16:47:43,23.5942578125,149955,37.13524351470597,1009.8530537432498,28.32036403379015,1,2,2,1,2,2,354,106,12,1,0,0
2025-02-21 16:47:44,23.599921875,150359,37.14737568958438,1009.8538873065028,28.313405155939776,1,2,2,1,2,2,354,103,15,1,0,0
2025-02-21 16:47:45,23.6071484375,150765,37.130751363203586,1009.8504371691765,28.342208140363084,1,2,2,1,2,2,354,103,15,1,0,0
2025-02-21 16:47:46,23.60265625,150765,37.11873772534843,1009.8532800869947,28.318474436510492,1,2,2,1,2,2,354,103,15,1,0,0
2025-02-21 16:47:47,23.6083203125,151859,37.119304466277995,1009.8558356955207,28.297139340478644,1,2,2,1,2,2,360,106,15,1,0,0
2025-02-21 16:47:47,23.615546875,153108,37.10268266241341,1009.8627188513204,28.239676613778293,1,2,2,1,2,2,360,106,15,1,0,0
2025-02-21 16:47:48,23.610859375,152411,37.10221377616623,1009.8652362151739,28.218660956104973,1,2,2,1,2,2,360,106,15,1,0,0
2025-02-21 16:47:49,23.616328125,153108,37.10276081234465,1009.8605770106446,28.25755733230859,1,2,2,1,2,2,351,104,16,1,0,0
2025-02-21 16:47:50,23.6235546875,152689,37.09770241414947,1009.8605709012995,28.257608334969024,1,2,2,1,2,2,351,104,16,1,0,0
2025-02-21 16:47:51,23.618671875,153952,37.085652153699066,1009.8644850806189,28.22493163305653,1,2,2,1,2,2,351,104,16,1,0,0
2025-02-21 16:47:52,23.6253125,154949,37.08053552716862,1009.8617796382925,28.247517437740665,1,2,2,1,2,2,324,92,18,1,0,0
2025-02-21 16:47:53,23.63234375,155525,37.07545805058212,1009.8631698946853,28.235911174468892,1,2,2,1,2,2,324,92,18,1,0,0
