timestamp,latitude,longitude
2025-04-18 16:06:53-07:00,37.87707,-122.258743
2025-04-18 16:06:54-07:00,37.877086,-122.258736
2025-04-18 16:06:55-07:00,37.877085,-122.258743
2025-04-18 16:06:56-07:00,37.877095,-122.25875
2025-04-18 16:06:57-07:00,37.877108,-122.258758
2025-04-18 16:06:58-07:00,37.877115,-122.258764
2025-04-18 16:06:59-07:00,37.877117,-122.258768
2025-04-18 16:07:00-07:00,37.87712,-122.258772
2025-04-18 16:07:01-07:00,37.877123,-122.258776
2025-04-18 16:07:02-07:00,37.877125,-122.258781
2025-04-18 16:07:03-07:00,37.877128,-122.258785
2025-04-18 16:07:04-07:00,37.87713,-122.258789
2025-04-18 16:07:05-07:00,37.877133,-122.258793
2025-04-18 16:07:06-07:00,37.877139,-122.258802
2025-04-18 16:07:07-07:00,37.877134,-122.258791
2025-04-18 16:07:08-07:00,37.877136,-122.258789
2025-04-18 16:07:09-07:00,37.877118,-122.258775
2025-04-18 16:07:10-07:00,37.877134,-122.258785
2025-04-18 16:07:11-07:00,37.877146,-122.258796
2025-04-18 16:07:12-07:00,37.877147,-122.258816
2025-04-18 16:07:13-07:00,37.877145,-122.258827
2025-04-18 16:07:14-07:00,37.877135,-122.258863
2025-04-18 16:07:15-07:00,37.877133,-122.258891
2025-04-18 16:07:16-07:00,37.877127,-122.258893
2025-04-18 16:07:17-07:00,37.877127,-122.258885
2025-04-18 16:07:18-07:00,37.877127,-122.258876
2025-04-18 16:07:19-07:00,37.877127,-122.258868
2025-04-18 16:07:20-07:00,37.877127,-122.258859
2025-04-18 16:07:21-07:00,37.877127,-122.258851
2025-04-18 16:07:22-07:00,37.877127,-122.258842
2025-04-18 16:07:24-07:00,37.877125,-122.258835
2025-04-18 16:07:25-07:00,37.877118,-122.258829
2025-04-18 16:07:26-07:00,37.877115,-122.258826
2025-04-18 16:07:27-07:00,37.877115,-122.258822
2025-04-18 16:07:28-07:00,37.877118,-122.258824
2025-04-18 16:07:29-07:00,37.87712,-122.258828
2025-04-18 16:07:30-07:00,37.87712,-122.258823
2025-04-18 16:07:31-07:00,37.877124,-122.258819
2025-04-18 16:07:32-07:00,37.877122,-122.258821
2025-04-18 16:07:33-07:00,37.877122,-122.258821
2025-04-18 16:07:34-07:00,37.877118,-122.258818
2025-04-18 16:07:35-07:00,37.877118,-122.258812
2025-04-18 16:07:36-07:00,37.877116,-122.258812
2025-04-18 16:07:37-07:00,37.877117,-122.258806
2025-04-18 16:07:38-07:00,37.87712,-122.258807
2025-04-18 16:07:39-07:00,37.877122,-122.25881
2025-04-18 16:07:40-07:00,37.87713,-122.25882
2025-04-18 16:07:41-07:00,37.877132,-122.258838
2025-04-18 16:07:42-07:00,37.877132,-122.258864
2025-04-18 16:07:43-07:00,37.877131,-122.258875
2025-04-18 16:07:44-07:00,37.877131,-122.258885
2025-04-18 16:07:45-07:00,37.877123,-122.258909
2025-04-18 16:07:46-07:00,37.877124,-122.258918
2025-04-18 16:07:47-07:00,37.877117,-122.258938
2025-04-18 16:07:48-07:00,37.877118,-122.258951
2025-04-18 16:07:49-07:00,37.877118,-122.258964
2025-04-18 16:07:50-07:00,37.877122,-122.258989
2025-04-18 16:07:51-07:00,37.877119,-122.259004
2025-04-18 16:07:52-07:00,37.877118,-122.259046
2025-04-18 16:07:53-07:00,37.877092,-122.259061
2025-04-18 16:07:54-07:00,37.877085,-122.259063
2025-04-18 16:07:55-07:00,37.877079,-122.259065
2025-04-18 16:07:56-07:00,37.877086,-122.259083
2025-04-18 16:07:57-07:00,37.87708,-122.259093
2025-04-18 16:07:58-07:00,37.877077,-122.259103
2025-04-18 16:07:59-07:00,37.877078,-122.259128
2025-04-18 16:08:00-07:00,37.877079,-122.259143
2025-04-18 16:08:01-07:00,37.877079,-122.259158
2025-04-18 16:08:02-07:00,37.877075,-122.25917
2025-04-18 16:08:03-07:00,37.877075,-122.259178
2025-04-18 16:08:04-07:00,37.877076,-122.259195
2025-04-18 16:08:05-07:00,37.877076,-122.259207
2025-04-18 16:08:06-07:00,37.877076,-122.259219
2025-04-18 16:08:07-07:00,37.877076,-122.259235
2025-04-18 16:08:08-07:00,37.877073,-122.259249
2025-04-18 16:08:09-07:00,37.87707,-122.259264
2025-04-18 16:08:10-07:00,37.877067,-122.259297
2025-04-18 16:08:11-07:00,37.877062,-122.259313
2025-04-18 16:08:12-07:00,37.877065,-122.259328
2025-04-18 16:08:13-07:00,37.877061,-122.259343
2025-04-18 16:08:14-07:00,37.877063,-122.259351
2025-04-18 16:08:15-07:00,37.877059,-122.259374
2025-04-18 16:08:16-07:00,37.877055,-122.259388
2025-04-18 16:08:17-07:00,37.877049,-122.259397
2025-04-18 16:08:18-07:00,37.877034,-122.259413
2025-04-18 16:08:19-07:00,37.877038,-122.25944
2025-04-18 16:08:20-07:00,37.877032,-122.259457
2025-04-18 16:08:21-07:00,37.877026,-122.259486
2025-04-18 16:08:22-07:00,37.877025,-122.259494
2025-04-18 16:08:23-07:00,37.877023,-122.259501
2025-04-18 16:08:24-07:00,37.877017,-122.259527
2025-04-18 16:08:25-07:00,37.877015,-122.259539
2025-04-18 16:08:26-07:00,37.877012,-122.259551
2025-04-18 16:08:27-07:00,37.877008,-122.259559
2025-04-18 16:08:28-07:00,37.877006,-122.259573
2025-04-18 16:08:29-07:00,37.877007,-122.259587
2025-04-18 16:08:30-07:00,37.877006,-122.259601
2025-04-18 16:08:31-07:00,37.877006,-122.259612
2025-04-18 16:08:32-07:00,37.877,-122.259632
2025-04-18 16:08:33-07:00,37.877001,-122.259641
2025-04-18 16:08:34-07:00,37.877001,-122.259656
2025-04-18 16:08:35-07:00,37.877002,-122.259672
2025-04-18 16:08:36-07:00,37.877005,-122.25968
2025-04-18 16:08:37-07:00,37.877012,-122.259706
2025-04-18 16:08:38-07:00,37.877011,-122.259723
2025-04-18 16:08:39-07:00,37.877007,-122.259739
2025-04-18 16:08:40-07:00,37.877003,-122.259747
2025-04-18 16:08:41-07:00,37.877,-122.259766
2025-04-18 16:08:42-07:00,37.876998,-122.259787
2025-04-18 16:08:43-07:00,37.876998,-122.259803
2025-04-18 16:08:44-07:00,37.877,-122.259825
2025-04-18 16:08:45-07:00,37.876999,-122.259851
2025-04-18 16:08:46-07:00,37.876997,-122.259863
2025-04-18 16:08:47-07:00,37.876996,-122.259876
2025-04-18 16:08:48-07:00,37.876996,-122.259885
2025-04-18 16:08:49-07:00,37.876993,-122.259894
2025-04-18 16:08:50-07:00,37.876991,-122.259914
2025-04-18 16:08:51-07:00,37.876996,-122.259926
2025-04-18 16:08:52-07:00,37.876999,-122.259951
2025-04-18 16:08:53-07:00,37.876995,-122.259967
2025-04-18 16:08:54-07:00,37.876989,-122.259989
2025-04-18 16:08:55-07:00,37.876984,-122.260019
2025-04-18 16:08:56-07:00,37.876984,-122.26003
2025-04-18 16:08:57-07:00,37.876983,-122.260042
2025-04-18 16:08:58-07:00,37.876979,-122.260072
2025-04-18 16:08:59-07:00,37.876976,-122.260085
2025-04-18 16:09:00-07:00,37.876972,-122.260097
2025-04-18 16:09:01-07:00,37.876976,-122.26011
2025-04-18 16:09:02-07:00,37.876975,-122.26012
2025-04-18 16:09:03-07:00,37.876975,-122.260139
2025-04-18 16:09:04-07:00,37.876972,-122.260147
2025-04-18 16:09:05-07:00,37.876975,-122.260162
2025-04-18 16:09:06-07:00,37.876975,-122.260176
2025-04-18 16:09:07-07:00,37.876973,-122.260197
2025-04-18 16:09:08-07:00,37.876964,-122.260209
2025-04-18 16:09:09-07:00,37.876966,-122.260234
2025-04-18 16:09:10-07:00,37.876965,-122.260244
2025-04-18 16:09:11-07:00,37.876963,-122.260255
2025-04-18 16:09:12-07:00,37.876963,-122.26028
2025-04-18 16:09:13-07:00,37.876963,-122.260293
2025-04-18 16:09:14-07:00,37.876964,-122.260305
2025-04-18 16:09:15-07:00,37.876952,-122.260325
2025-04-18 16:09:16-07:00,37.876947,-122.260338
2025-04-18 16:09:17-07:00,37.876943,-122.26035
2025-04-18 16:09:18-07:00,37.876936,-122.260365
2025-04-18 16:09:19-07:00,37.876929,-122.260383
2025-04-18 16:09:20-07:00,37.876922,-122.260401
2025-04-18 16:09:21-07:00,37.876909,-122.260414
2025-04-18 16:09:22-07:00,37.876902,-122.260434
2025-04-18 16:09:23-07:00,37.876903,-122.260442
2025-04-18 16:09:24-07:00,37.876904,-122.260452
2025-04-18 16:09:25-07:00,37.876904,-122.260467
2025-04-18 16:09:26-07:00,37.876896,-122.260472
2025-04-18 16:09:27-07:00,37.876892,-122.260471
2025-04-18 16:09:28-07:00,37.876894,-122.260467
2025-04-18 16:09:29-07:00,37.876893,-122.260468
2025-04-18 16:09:30-07:00,37.876895,-122.260464
2025-04-18 16:09:31-07:00,37.876894,-122.260462
2025-04-18 16:09:32-07:00,37.876894,-122.260462
2025-04-18 16:09:33-07:00,37.876893,-122.260471
2025-04-18 16:09:34-07:00,37.876888,-122.260479
2025-04-18 16:09:35-07:00,37.876877,-122.260489
2025-04-18 16:09:36-07:00,37.876877,-122.260462
2025-04-18 16:09:37-07:00,37.87688,-122.260459
2025-04-18 16:09:38-07:00,37.876881,-122.260458
2025-04-18 16:09:39-07:00,37.876878,-122.260463
2025-04-18 16:09:40-07:00,37.876864,-122.26047
2025-04-18 16:09:41-07:00,37.876873,-122.260472
2025-04-18 16:09:42-07:00,37.876881,-122.260478
2025-04-18 16:09:43-07:00,37.876869,-122.26048
2025-04-18 16:09:44-07:00,37.87687,-122.260484
2025-04-18 16:09:45-07:00,37.87687,-122.260492
2025-04-18 16:09:46-07:00,37.876869,-122.260487
2025-04-18 16:09:47-07:00,37.876863,-122.260485
2025-04-18 16:09:48-07:00,37.876861,-122.260488
2025-04-18 16:09:49-07:00,37.876844,-122.260495
2025-04-18 16:09:50-07:00,37.876839,-122.260503
2025-04-18 16:09:51-07:00,37.876835,-122.260512
2025-04-18 16:09:52-07:00,37.87683,-122.26052
2025-04-18 16:09:53-07:00,37.876826,-122.260529
2025-04-18 16:09:54-07:00,37.876821,-122.260537
2025-04-18 16:09:55-07:00,37.876817,-122.260546
2025-04-18 16:09:56-07:00,37.876836,-122.260514
2025-04-18 16:09:57-07:00,37.876845,-122.260501
2025-04-18 16:09:58-07:00,37.876851,-122.260497
2025-04-18 16:09:59-07:00,37.876845,-122.260498
2025-04-18 16:10:00-07:00,37.876845,-122.260502
2025-04-18 16:10:01-07:00,37.876835,-122.260493
2025-04-18 16:10:02-07:00,37.876838,-122.260483
2025-04-18 16:10:03-07:00,37.87684,-122.260478
2025-04-18 16:10:04-07:00,37.876849,-122.260479
2025-04-18 16:10:05-07:00,37.876848,-122.260475
2025-04-18 16:10:06-07:00,37.876851,-122.260474
2025-04-18 16:10:07-07:00,37.876846,-122.260466
2025-04-18 16:10:08-07:00,37.876839,-122.260461
2025-04-18 16:10:09-07:00,37.876837,-122.260461
2025-04-18 16:10:10-07:00,37.876835,-122.260461
2025-04-18 16:10:11-07:00,37.876833,-122.260461
2025-04-18 16:10:12-07:00,37.876832,-122.260461
2025-04-18 16:10:13-07:00,37.87683,-122.260461
2025-04-18 16:10:14-07:00,37.876828,-122.260461
2025-04-18 16:10:15-07:00,37.876826,-122.260461
2025-04-18 16:10:16-07:00,37.876824,-122.260461
2025-04-18 16:10:17-07:00,37.876822,-122.260461
2025-04-18 16:10:18-07:00,37.87682,-122.260461
2025-04-18 16:10:19-07:00,37.876818,-122.260461
2025-04-18 16:10:20-07:00,37.876816,-122.260461
2025-04-18 16:10:21-07:00,37.876815,-122.260461
2025-04-18 16:10:22-07:00,37.876813,-122.260461
2025-04-18 16:10:23-07:00,37.876811,-122.260461
2025-04-18 16:10:24-07:00,37.876809,-122.260461
2025-04-18 16:10:25-07:00,37.876807,-122.260461
2025-04-18 16:10:26-07:00,37.876781,-122.260449
2025-04-18 16:10:27-07:00,37.876765,-122.260439
2025-04-18 16:10:28-07:00,37.876763,-122.26045
2025-04-18 16:10:29-07:00,37.876755,-122.260455
2025-04-18 16:10:30-07:00,37.876735,-122.260445
2025-04-18 16:10:31-07:00,37.876729,-122.260438
2025-04-18 16:10:32-07:00,37.876712,-122.260422
2025-04-18 16:10:33-07:00,37.876695,-122.260415
2025-04-18 16:10:34-07:00,37.876696,-122.260432
2025-04-18 16:10:35-07:00,37.876682,-122.26044
2025-04-18 16:10:36-07:00,37.876671,-122.260437
